ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可,このアカウントのみ使用可,版権所有者,お客様情報部署名,お客様情報名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
240840,,2,3,元画像なし,BP13-60437,640×320_学生旅行バナー2016年度版,バナー、学生旅行、国内、国外、Z411140、web販売係/西中岡雅美様、http://www.hankyu-travel.com/haruyasumi/,-1,-1,2019.9.4,2022.9.17,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.9.17,,2019.9.4,0001_640_320.jpg
240840,,2,3,元画像なし,BP13-60437,220×165_学生旅行バナー2016年度版,バナー、学生旅行、国内、国外、Z411140、web販売係/西中岡雅美様、http://www.hankyu-travel.com/haruyasumi/,-1,-1,2019.9.4,2022.9.17,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.9.17,,2019.9.4,0001_220_165.jpg
240840,,2,3,元画像なし,BP13-60437,300×225_学生旅行バナー2016年度版,バナー、学生旅行、国内、国外、Z411140、web販売係/西中岡雅美様、http://www.hankyu-travel.com/haruyasumi/,-1,-1,2019.9.4,2022.9.17,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.9.17,,2019.9.4,0001_300_225.jpg
240840,,2,3,元画像なし,BP13-60437,210×60_学生旅行バナー2016年度版,バナー、学生旅行、国内、国外、Z411140、web販売係/西中岡雅美様、http://www.hankyu-travel.com/haruyasumi/,-1,-1,2019.9.4,2022.9.17,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.9.17,,2019.9.4,0001_210_60.jpg
240840,,2,3,元画像なし,BP13-60437,640×220_学生旅行バナー2016年度版,バナー、学生旅行、国内、国外、Z411140、web販売係/西中岡雅美様、http://www.hankyu-travel.com/haruyasumi/,-1,-1,2019.9.4,2022.9.17,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2019.9.17,,2019.9.4,0001_640×220.jpg
252403,,2,3,元画像なし,,640×320_2016年GW特集バナー,バナー、GW特集、ゴールデンウィーク、GW、2016、海外格安航空券、ホテル、旅館、国内、海外、旅行、ツアー、Z430520、http://www.hankyu-travel.com/gw/、中岡雅美様,-1,-1,2020.1.8,2020.7.8,hantoshi,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2020.1.8,,2020.1.8,0002_640_320.jpg
252403,,2,3,元画像なし,,220×165_2016年GW特集バナー,バナー、GW特集、ゴールデンウィーク、GW、2016、海外格安航空券、ホテル、旅館、国内、海外、旅行、ツアー、Z430520、http://www.hankyu-travel.com/gw/、中岡雅美様,-1,-1,2020.1.8,2020.7.8,hantoshi,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2020.1.8,,2020.1.8,0002_220_165.jpg
252403,,2,3,元画像なし,,300×225_2016年GW特集バナー,バナー、GW特集、ゴールデンウィーク、GW、2016、海外格安航空券、ホテル、旅館、国内、海外、旅行、ツアー、Z430520、http://www.hankyu-travel.com/gw/、中岡雅美様,-1,-1,2020.1.8,2020.7.8,hantoshi,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2020.1.8,,2020.1.8,0002_300_225.jpg
252403,,2,3,元画像なし,,210×60_2016年GW特集バナー,バナー、GW特集、ゴールデンウィーク、GW、2016、海外格安航空券、ホテル、旅館、国内、海外、旅行、ツアー、Z430520、http://www.hankyu-travel.com/gw/、中岡雅美様,-1,-1,2020.1.8,2020.7.8,hantoshi,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2020.1.8,,2020.1.8,0002_210_60.jpg
252403,,2,3,元画像なし,,640×220_2016年GW特集バナー,バナー、GW特集、ゴールデンウィーク、GW、2016、海外格安航空券、ホテル、旅館、国内、海外、旅行、ツアー、Z430520、http://www.hankyu-travel.com/gw/、中岡雅美様,-1,-1,2020.1.8,2020.7.8,hantoshi,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2020.1.8,,2020.1.8,0002_640×220.jpg
189329,,2,3,元画像なし,EBP07-18595A.jpg、ESP11-58248A.jpg、EBP10-31454A.jpg、ESP08-43795A.jpg,640×320_阪急スポーツ特集バナー,バナー、阪急スポーツ特集、スポーツ、スポーツ観戦、http://www.hankyu-travel.com/sports/、中岡雅美様,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2018.3.28,,2018.3.28,0003_640_320.jpg
189329,,2,3,元画像なし,EBP07-18595A.jpg、ESP11-58248A.jpg、EBP10-31454A.jpg、ESP08-43795A.jpg,220×165_阪急スポーツ特集バナー,バナー、阪急スポーツ特集、スポーツ、スポーツ観戦、http://www.hankyu-travel.com/sports/、中岡雅美様,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2018.3.28,,2018.3.28,0003_220_165.jpg
189329,,2,3,元画像なし,EBP07-18595A.jpg、ESP11-58248A.jpg、EBP10-31454A.jpg、ESP08-43795A.jpg,300×225_阪急スポーツ特集バナー,バナー、阪急スポーツ特集、スポーツ、スポーツ観戦、http://www.hankyu-travel.com/sports/、中岡雅美様,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2018.3.28,,2018.3.28,0003_300_225.jpg
189329,,2,3,元画像なし,EBP07-18595A.jpg、ESP11-58248A.jpg、EBP10-31454A.jpg、ESP08-43795A.jpg,210×60_阪急スポーツ特集バナー,バナー、阪急スポーツ特集、スポーツ、スポーツ観戦、http://www.hankyu-travel.com/sports/、中岡雅美様,-1,-1,2004.1.2,2104.1.3,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2018.3.28,,2018.3.28,0003_210_60.jpg
