ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元　その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可 ,このアカウントのみ使用可,版権所有者,お客様情報　部署名,お客様情報　名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
187001,,2,3,元画像なし,ile_紅葉-019.eps、ile_紅葉-020.eps、ile_紅葉-046.eps、EBP10-84630B.eps,640×320_広島発着秋のカナダツアー特集バナー,バナー、広島発海外、カナダ、秋、メープル街道、津崎高明様、http://www.hankyu-travel.com/hiroshima/canada/index.php,-1,-1,2014/2/28,2017/2/28,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,,,2014/2/28,0160_640_320.jpg
187001,,2,3,元画像なし,ile_紅葉-019.eps、ile_紅葉-020.eps、ile_紅葉-046.eps、EBP10-84630B.eps,220×165_広島発着秋のカナダツアー特集バナー,バナー、広島発海外、カナダ、秋、メープル街道、津崎高明様、http://www.hankyu-travel.com/hiroshima/canada/index.php,-1,-1,2014/2/28,2017/2/28,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,,,2014/2/28,0160_220_165.jpg
187001,,2,3,元画像なし,ile_紅葉-019.eps、ile_紅葉-020.eps、ile_紅葉-046.eps、EBP10-84630B.eps,300×225_広島発着秋のカナダツアー特集バナー,バナー、広島発海外、カナダ、秋、メープル街道、津崎高明様、http://www.hankyu-travel.com/hiroshima/canada/index.php,-1,-1,2014/2/28,2017/2/28,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,,,2014/2/28,0160_300_225.jpg
187001,,2,3,元画像なし,ile_紅葉-019.eps、ile_紅葉-020.eps、ile_紅葉-046.eps、EBP10-84630B.eps,640×220_広島発着秋のカナダツアー特集バナー,バナー、広島発海外、カナダ、秋、メープル街道、津崎高明様、http://www.hankyu-travel.com/hiroshima/canada/index.php,-1,-1,2014/2/28,2017/2/28,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,,,2014/2/28,0160_640_220.jpg
181091,,2,3,元画像なし,,640×320_関西発海外ロシアDM（11/8発送）,バナー、関西発海外、DM、ロシア、11/8発送、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur22/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/8,,2014/1/10,0161_640_320.jpg
181091,,2,3,元画像なし,,220×165_関西発海外ロシアDM（11/8発送）,バナー、関西発海外、DM、ロシア、11/8発送、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur22/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/8,,2014/1/10,0161_220_165.jpg
181091,,2,3,元画像なし,,300×225_関西発海外ロシアDM（11/8発送）,バナー、関西発海外、DM、ロシア、11/8発送、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur22/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/8,,2014/1/10,0161_300_225.jpg
181091,,2,3,元画像なし,,640×220_関西発海外ロシアDM（11/8発送）,バナー、関西発海外、DM、ロシア、11/8発送、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur22/,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/8,,2014/1/10,0161_300_225.jpg
180888,,2,3,元画像なし,,640×320_関西発海外ベストシーズンヨーロッパDM,バナー、ベストシーズンヨーロッパDM、おすすめ、4/8、尾崎亮子様、関西発海外,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2011/4/12,,2014/1/10,0162_640_320.jpg
180888,,2,3,元画像なし,,220×165_関西発海外ベストシーズンヨーロッパDM,バナー、ベストシーズンヨーロッパDM、おすすめ、4/8、尾崎亮子様、関西発海外,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2011/4/12,,2014/1/10,0162_220_165.jpg
180888,,2,3,元画像なし,,300×225_関西発海外ベストシーズンヨーロッパDM,バナー、ベストシーズンヨーロッパDM、おすすめ、4/8、尾崎亮子様、関西発海外,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2011/4/12,,2014/1/10,0162_300_225.jpg
180888,,2,3,元画像なし,,640×220_関西発海外ベストシーズンヨーロッパDM,バナー、ベストシーズンヨーロッパDM、おすすめ、4/8、尾崎亮子様、関西発海外,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2011/4/12,,2014/1/10,0162_640_220.jpg
181377,,2,3,元画像なし,EBP08-45765A,640×320_関西発海外クロアチア封書DM(11/12）,バナー、関西発海外、世界遺産の宝庫、クロアチア、スロベニア、11/12、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur8/,-1,-1,2013/11/12,2016/11/12,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/12,,2014/1/10,0165_640_320.jpg
181377,,2,3,元画像なし,EBP08-45765A,220×165_関西発海外クロアチア封書DM(11/12）,バナー、関西発海外、世界遺産の宝庫、クロアチア、スロベニア、11/12、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur8/,-1,-1,2013/11/12,2016/11/12,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/12,,2014/1/10,0165_220_165.jpg
181377,,2,3,元画像なし,EBP08-45765A,300×225_関西発海外クロアチア封書DM(11/12）,バナー、関西発海外、世界遺産の宝庫、クロアチア、スロベニア、11/12、尾崎亮子様、http://www.hankyu-travel.com/kansai/eur8/,-1,-1,2013/11/12,2016/11/12,sannen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/11/12,,2014/1/10,0165_300_225.jpg
