"ID","画像管理番号","掲載状況","登録区分","素材管理番号","BUD_PHOTO番号","被写体の名称","素材（画像）の詳細内容","撮影時期","撮影時期","掲載期間From","掲載期間To","期間","写真入手元","写真入手元　その他","掲載可能範囲","外部出稿条件付き","要クレジット","要使用許可 ","このアカウントのみ使用可","版権所有者","お客様情報　部署名","お客様情報　名前","新規者のアカント","新規者の名前","許可者のアカント","許可者の名前","許可日","備考","新規日付","画像ファイル名"
"","","2","3","元画像なし","","map_10_CT439H_コースマップ","マップ、バナー、CT439H、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=CT439H&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_CT439H.png"
"","","2","3","元画像なし","","map_10_CT52701_コースマップ","マップ、バナー、CT52701、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=CT52701&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_CT52701.png"
"","","2","3","元画像なし","","map_10_D331K_コースマップ","マップ、バナー、D331K、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=D331K&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_D331K.jpg"
"","","2","3","元画像なし","","map_10_D706LHC_コースマップ","マップ、バナー、D706LHC、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=D706LHC&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_D706LHC.png"
"","","2","3","元画像なし","","map_10_E504H_コースマップ","マップ、バナー、E504H、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E504H&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E504H.png"
"","","2","3","元画像なし","","map_10_E538NW_コースマップ","マップ、バナー、E538NW、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E538NW&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E538NW.png"
"","","2","3","元画像なし","","map_10_E538NW1_コースマップ","マップ、バナー、E538NW1、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E538NW1&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E538NW1.png"
"","","2","3","元画像なし","","map_10_E539SKT_コースマップ","マップ、バナー、E539SKT、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E539SKT&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E539SKT.jpg"
"","","2","3","元画像なし","","map_10_E550LH_コースマップ","マップ、バナー、E550LH、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E550LH&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E550LH.png"
"","","2","3","元画像なし","","map_10_E566H_コースマップ","マップ、バナー、E566H、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=E566H&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_E566H.jpg"
