ファイル名	代替え写真番号	カテゴリ	顧客カテゴリ	イラストカテゴリ	イラスト別版名	イラストTIF名	FM登録日	登録日	使用可能終了日	使用期限なし	 原稿	切り抜き（ky）	国内海外	国名県名	 地名	撮影月	PST	写真キーワード	イラストキーワード	内容	   写真入手元	  レンポジ番号	更新	  要クレジット	初回伝票番号	担当部署	担当氏名	登録依頼者	使用条件項目1	使用条件項目2	他の制作会社への貸出が	使用規定書	使用条件に関する備考	画像生成パターン	     入力者	DS登録可	      その他のコメント	採番済み	加工元ファイル名	加工作業内容	加工画像登録者	使用禁止・削除理由	削除日	削除者	中国語　国・県名	中国語　地名	中国語　内容
SP23-029322D.jpg								2023-06-20 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町大字土樽1613	0		国内,宿泊施設		湯沢パークホテル　カブト虫捕り	株式会社リゾートバンク 小島秀一様				DS	東京メディア	国内営業3課1係 栗田 大成様	中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤隆介	あり	ESP16-27940の再登録　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み										
SP20-018903D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,国内,湯沢パークリゾート		湯沢パークホテル　魚のつかみ取り	株式会社リゾートバンク　小島秀一様/【2023年】株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018902D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,大浴場,国内,湯沢パークリゾート		湯沢パークホテル　温泉大浴場　宵月の湯	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018901D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,国内,湯沢パークリゾート		湯沢パークホテル　温泉　薫風の湯	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018900D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,国内,湯沢パークリゾート		湯沢パークホテル　屋外プール	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018899D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,外観,国内,湯沢パークリゾート		湯沢パークホテル　外観　全景	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018898D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,客室,国内,湯沢パークリゾート		湯沢パークホテル　客室　ファミリールーム	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018897D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,国内,湯沢パークリゾート		湯沢パークホテル　パターゴルフコース	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018896D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,国内,湯沢パークリゾート		湯沢パークホテル　ネイチャークラフト体験	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
SP20-018894D.jpg								2020-06-16 00:00:00	2026-06-20 00:00:00		写真		国内	新潟県	南魚沼郡湯沢町	0	E	宿泊施設,客室,国内,湯沢パークリゾート		湯沢パークホテル　客室　アネックスツインルーム	株式会社リゾートバンク　小島秀一様株式会社リゾートバンク　小島秀一様				A015782500/【2023年】DS	東京メディア	東京メディア 国内営業3課1係　金子飛鳥様/【2023年】東京メディア 国内営業3課1係　栗田大成様	中村淳/【2023年】中村淳	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤/【2023年】寺澤	あり	2023-06-20期限延長　2023.6.20 東京メディア 国内営業3課1係　栗田大成様より了承済み						0				
