ファイル名	代替え写真番号	カテゴリ	顧客カテゴリ	イラストカテゴリ	イラスト別版名	イラストTIF名	FM登録日	登録日	使用可能終了日	使用期限なし	 原稿	切り抜き（ky）	国内海外	国名県名	 地名	撮影月	PST	写真キーワード	イラストキーワード	内容	   写真入手元	  レンポジ番号	更新	  要クレジット	初回伝票番号	担当部署	担当氏名	登録依頼者	使用条件項目1	使用条件項目2	他の制作会社への貸出が	使用規定書	使用条件に関する備考	画像生成パターン	     入力者	DS登録可	      その他のコメント	採番済み	加工元ファイル名	加工作業内容	加工画像登録者	使用禁止・削除理由	削除日	削除者	中国語　国・県名	中国語　地名	中国語　内容
BP19-111547D.jpg								2019-09-13 00:00:00	2026-06-20 00:00:00		写真			エジプト	ルクソール	0	E	世界遺産,海外,古代都市テーベとその墓地遺跡,彫像		ハトシェプスト女王像　ハトシェプスト女王葬祭殿　世界遺産	AdobeStock	95414394			P012932500	BUD		松澤亮介	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
BP19-063969D.jpg								2019-06-04 00:00:00	2026-06-20 00:00:00		写真			イタリア	シチリア島ピアッツァ・アルメリーナ	1	E	建物,世界遺産,海外,ヴィッラロマーナデルカサーレ,ヴィラ・ロマーナ・デル・カサーレ,ヴィラロマーナデルカサーレ,カサーレの古代ローマ別荘,カサーレの古代ローマの別荘,カサーレ荘,モザイク絵画,世界遺産		ヴィッラ・ロマーナ・デル・カサーレ　カサーレの別荘　2016年	imasia	23477995			F011770100	BUD		中植美波	紙WEB共に使用可能	加工と文字掛け可能	できません				沢田	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20						0				
BP18-058698D.jpg								2018-10-26 00:00:00	2026-06-20 00:00:00		写真			イタリア共和国	シラクーサ　シラクサ	1		建物,海外,ネアポリ考古学公園,洞穴,石切り場,ネアポリス考古学公園,ギリシャ劇場の上部,墓		ネアポリ考古学公園	fotolia	119648405				BUD			紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
BP18-057375D.jpg								2018-10-23 00:00:00	2026-06-20 00:00:00		写真			イタリア共和国	シラクサ　シラクーサ	0		風景,建物,海外,ネアポリ考古学公園,ネアポリス考古学公園,ギリシャ劇場,ビザンチン時代の墓		ネアポリ考古学公園	fotolia	78004079				BUD			紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20						0				
BP18-057374D.jpg								2018-10-23 00:00:00	2026-06-20 00:00:00		写真			イタリア共和国	シラクサ　シラクーサ	0		風景,建物,海外,ネアポリ考古学公園,ネアポリス考古学公園,ギリシャ劇場		ネアポリ考古学公園	fotolia	77767507				BUD			紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20						0				
BP18-057373D.jpg								2018-10-23 00:00:00	2026-06-20 00:00:00		写真			イタリア共和国	シラクサ　シラクーサ	0		風景,建物,海外,ネアポリ考古学公園,ネアポリス考古学公園,円形闘技場,アンフィテアトルム		ネアポリ考古学公園	fotolia	74177444				BUD			紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20						0				
BP18-057371D.jpg								2018-10-23 00:00:00	2026-06-20 00:00:00		写真			イタリア共和国	シラクサ　シラクーサ	0		風景,建物,海外,ネアポリ考古学公園,ネアポリス考古学公園,天国の石切り場		ネアポリ考古学公園	fotolia	25896564				BUD			紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20						0				
BP18-030062D.jpg								2018-06-13 00:00:00	2026-06-20 00:00:00		写真			イタリア	シチリア島	0	E	海外,ピアッツァ・アルメリーナ,シチリア島,カサーレ,古代ローマ,別荘,遺跡,海外		ピアッツァ・アルメリーナ　シチリア島　カサーレ　古代ローマの別荘　遺跡	imasia	4151095			A006679100	BUD		大村尚徳	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
BP18-028940D.jpg								2018-06-06 00:00:00	2026-06-20 00:00:00		写真			エジプト	ルクソール	0	E	海外,ハトシェプスト女王葬祭殿,エジプト,ルクソール,遺跡,海外		ハトシェプスト女王葬祭殿　エジプト　ルクソール	iStock	512972564			A006681400	BUD		石橋芙美	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20						0				
BP18-010771D.jpg								2018-02-23 00:00:00	2026-06-20 00:00:00		写真			スペイン		0	E	物品,海外,サンタ・キアラ教会,キオストロ,マヨルカ焼き,イメージ,物品,海外,陶板画		サンタ・キアラ教会とキオストロ　マヨルカ焼き　陶板画　イメージ	AdobeStock	113836772			Z004286100	BUD		WEB皆本浩子	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP16-34117D.jpg								2016-06-17 12:00:00	2026-06-20 00:00:00		写真			イタリア	ナポリ					ナポリ　サンカルロ劇場	PIXTA	3583957	流用		N105970	BUD		仲川浩史	紙WEB共に使用可能	加工と文字掛け可能	できません				寺沢	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP16-04352D.jpg								2016-01-22 12:00:00	2026-06-20 00:00:00		写真			イタリア			E			ピアッツァ・アルメリーナ　ピアッツァアルメリーナ　街並み　町並み	iStock	73070825	流用		A492180	BUD		浦本享佑	紙WEB共に使用可能	加工と文字掛け可能	できません				沢田	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP14-72208D.jpg								2014-12-03 12:00:00	2026-06-20 00:00:00		写真			イタリア	シチリア					ピアッツァ・アルメリーナ　シチリア島のカサーレの古代ローマの別荘　遺跡	imasia	4151098	流用		A439770	東京メディア		宮崎新吾	紙WEB共に使用可能	加工と文字掛け可能	できません				寺沢	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP13-83558D.jpg								2013-11-11 16:46:59	2026-06-20 00:00:00		写真			イタリア共和国	モンレアーレ	3				モンレアーレ大聖堂付属の（キオストロ）回廊付き中庭　2012/03/27	PIXTA	5053568	流用		N073110	三越トラベル		平井佳奈江	紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP11-29105D.jpg								2011-07-07 12:58:52	2026-06-20 00:00:00		写真			イタリア	シチリア島					ピアッツァ・アルメリーナ　	fotolia	7748365	流用		F294320			美村	紙WEB共に使用可能	加工と文字掛け可能	できません				寺沢	あり	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP10-19995D.jpg								2010-05-17 00:00:00	2026-06-20 00:00:00		写真			エジプト	ルクソール					ルクソール　ハトシェプスト女王葬祭殿　「古代都市テーベとその墓地遺跡」	fotolia	19914966	流用		ストックフォト		中島	杉野	紙WEB共に使用可能	その他の条件	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP08-12275D.jpg								2008-04-02 00:00:00	2026-06-20 00:00:00		写真			エジプト	ルクソール					ルクソール　ハトシェプスト女王葬祭殿　「古代都市テーベとその墓地遺跡」	tombo トンボシリーズ 写真素材　世界遺産3　世界編　（アジア・アフリカ・アメリカ・オセアニア）		流用		ストックフォト		中島		紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
EBP08-12274D.jpg								2008-04-02 00:00:00	2026-06-20 00:00:00		写真			エジプト	ルクソール					ルクソール　ハトシェプスト女王葬祭殿　「古代都市テーベとその墓地遺跡」	tombo トンボシリーズ 写真素材　世界遺産3　世界編　（アジア・アフリカ・アメリカ・オセアニア）		流用		ストックフォト		中島		紙WEB共に使用可能	加工と文字掛け可能	できません				中島	なし	阪急トラベルサポート　笹倉友子様　許可済み　23/06/20										
