ファイル名	代替え写真番号	カテゴリ	顧客カテゴリ	イラストカテゴリ	イラスト別版名	イラストTIF名	FM登録日	登録日	使用可能終了日	使用期限なし	 原稿	切り抜き（ky）	国内海外	国名県名	 地名	撮影月	PST	写真キーワード	イラストキーワード	内容	   写真入手元	  レンポジ番号	更新	  要クレジット	初回伝票番号	担当部署	担当氏名	登録依頼者	使用条件項目1	使用条件項目2	他の制作会社への貸出が	使用規定書	使用条件に関する備考	画像生成パターン	     入力者	DS登録可	      その他のコメント	採番済み	加工元ファイル名	加工作業内容	加工画像登録者	使用禁止・削除理由	削除日	削除者	中国語　国・県名	中国語　地名	中国語　内容
BP22-054988.jpg	01	02	03	04	05	06	07	2022-12-02 00:00:00	2025-12-02 00:00:00	08	写真		海外	アメリカ合衆国　ハワイ州	ハワイ	7	08	風景,夜景,夏,海外	09	ハワイ　ハレイワ夏の星空　2019/7	imasia	74877630	20	21	A023495700	BUD	22	上西久人	紙WEB共に使用可能	加工と文字掛け可能	できません	23	24	25	寺澤	あり	26	27	28	29	30	31	32	33	34	35	36
BP22-054977.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		海外	サウジアラビア		0		建物,海外		メディナ　預言者のモスク　ムハンマドのモスク	iStock	688494594			A023495706	BUD		斉藤翔太	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり											
AM22-054952.jpg								2022-12-02 00:00:00	2023-12-31 00:00:00		写真		国内	愛媛県	松山市	3		風景,建物,春,桜,国内,春,桜,さくら,サクラ,2018年3月28日,道後公園湯築城跡		桜咲く湯築城跡　2018年3月	アマナウェスト	1597030416	更新		A023659100	BUD		野島梓	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり	AM21-043778の再登録				レンタル契約期限切れのため削除		0				
AM22-054987.jpg								2022-12-02 00:00:00	2023-12-31 00:00:00		写真		国内	徳島県	徳島市	4		風景,建物,春,桜,国内,春,桜,さくら,サクラ,徳島城跡,2012年4月4日		下乗橋と大手門　サクラ咲く徳島城址　2012年4月	アマナウェスト	25488027715			A023659100	BUD		野島梓	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり	AM21-043777の再登録				レンタル契約期間満了のため		0				
BP22-054893.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		国内	北海道		0		風景,乗物,車体,国内		釧網本線 くしろ湿原ノロッコ号　2016/8	photolibrary	4631003			A023659100	BUD		竹内明男	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり											
BP22-054989.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		国内			0		食べ物,国内,ほたるいか,蛍烏賊		ホタルイカ　イメージ	photolibrary	6332179			A023659100	BUD		廣瀬憲佑	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり											
BP22-054990.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		国内	石川県		4		風景,春,桜,国内,さくら,サクラ		芦城公園　桜　2022/4	imasia	88430708			A023659100	BUD		廣瀬憲佑	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり											
PG22-054953.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		国内	鹿児島県	屋久島	9		風景,夏,国内		永田いなか浜 海 空撮 2017/9	BUDカメラマン角田撮影	KAKU-2017-09-0545.jpg			F023656900	BUD		福岡彩香	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり							0				
PG22-055007.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		国内	北海道	利尻島	6		風景,夏,国内		利尻島　オタトマリ沼　利尻山　利尻富士　2015/6	BUDカメラマン富樫撮影	TOGA-2015-06-0171.jpg			K023761500	BUD		藤瀬美咲	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり											
PG22-055047.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		国内	新潟県	上越市	4		風景,建物,夜景,春,桜,国内,さくら,サクラ		高田城　高田城址公園　日本三大夜桜　2015/4	BUDカメラマン山田撮影	YAMA-2015-04-0017.jpg			L023789200	BUD		杉原沙也加	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり	撮影・掲載許可取得済 書面有						0				
SP22-055044.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		海外	タイ	バンコク	0		海外,宿泊施設		コンラッドバンコクホテル　ロビー	JTA JAPAN CO.,LTD. ジェイ・テイ・エイ・ジャパン　株式会社 嶋津MR様				DS	FIT/西	 河谷　将輝様	岡田由実	紙WEB共に使用可能	加工と文字掛け可能	できます				武井尚也	あり											
SP22-055045.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		海外	タイ	バンコク	0		海外,宿泊施設,客室		コンラッドバンコクホテル　客室	JTA JAPAN CO.,LTD. ジェイ・テイ・エイ・ジャパン　株式会社 嶋津MR様				DS	FIT/西	 河谷　将輝様	岡田由実	紙WEB共に使用可能	加工と文字掛け可能	できます				武井尚也	あり											
SP22-055046.jpg								2022-12-02 00:00:00	2025-12-02 00:00:00		写真		海外	タイ	バンコク	0		海外,宿泊施設,外観		コンラッドバンコクホテル　外観	JTA JAPAN CO.,LTD. ジェイ・テイ・エイ・ジャパン　株式会社 嶋津MR様				DS	FIT/西	 河谷　将輝様	岡田由実	紙WEB共に使用可能	加工と文字掛け可能	できます				武井尚也	あり											
