"001","東京","H70","阪急交通社 トラピックス東北","BEU","ヨーロッパ","HU","ハンガリー","BUD","ブダペスト","3784","ラマダ プラザ"
"001","東京","HOT","阪急交通社 トラピックス大阪 海外","AAS","アジア","HK","香港","HKG","香港","1593","ﾊｰﾊﾞｰﾌﾟﾗｻﾞ ﾒﾄﾛﾎﾟﾘｽﾎﾃﾙ"
"001","東京","HOT","阪急交通社 トラピックス大阪 海外","AAS","アジア","HK","香港","HKG","香港","2852","ゴールド コースト ホテル"
"001","東京","HOT","阪急交通社 トラピックス大阪 海外","HWI","ハワイ","HA","ハワイ","HNL","ホノルル","1907","ﾜｲｷｷﾋﾞｰﾁ ﾏﾘｵｯﾄ ﾘｿﾞｰﾄ&ｽﾊﾟ"
"001","東京","HOT","阪急交通社 トラピックス大阪 海外","HWI","ハワイ","HA","ハワイ","HNL","ホノルル","2334","ヒルトン ハワイアン ビレッジ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","DLC","大連(ダイレン)","11275","大連日航飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","DLC","大連(ダイレン)","2070","大連九州華美達酒店(ﾗﾏﾀﾞ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","DLC","大連(ダイレン)","2071","大連香格里拉大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","DLC","大連(ダイレン)","2534","大連万達国際飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","PEK","北京(ペキン)","3258","北京新世紀日航飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","PEK","北京(ペキン)","P0369","明都飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","10750","上海美麗園全套房酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","1787","上海広場長城假日酒店（ﾎﾘﾃﾞｲｲﾝ ﾀﾞｳﾝﾀｳﾝ）"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","1788","上海揚子江万麗大酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","2175","上海静安希爾頓酒店(ﾋﾙﾄﾝ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","2176","上海波特曼麗思頓酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","2177","錦江湯臣洲際大酒店(ｲﾝﾀｰｺﾝﾁﾈﾝﾀﾙ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","5447","花園飯店（オークラ）"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","5448","虹橋賓館"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","5453","華亭賓館"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","5454","銀河賓館"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","5455","上海賓館"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","S0041","上海福朋喜来登由由大酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","S0255","蘭生大酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","S0423","上海外灘茂悦大酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","SHA","上海(シャンハイ)","S0424","上海豫園万麗酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","TAO","青島(チンタオ)","2700","海天大酒店［新館］"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","TAO","青島(チンタオ)","2702","頤中皇冠假日酒店(ｸﾗｳﾝﾌﾟﾗｻﾞ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","TAO","青島(チンタオ)","3342","匯泉王朝大酒店(ﾀﾞｲﾅｽﾃｨ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","TAO","青島(チンタオ)","3344","香格里拉大飯店(ｼｬﾝｸﾞﾘﾗ)"
