"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath","p_country_name","p_city_name","p_brand_name"
"E369","1","30","EUR","オランダ・ベルギー･ルクセンブルグ花物語１０日間","150124","4133","00000-BP16_-07564.jpg","00000-BP15_-03174.jpg","00449-webph-02368.jpg","00000-BP15_-06162.jpg","00000-BP15_-04752.jpg","00000-SP16_-24068.jpg","00000-EBP09-10480.jpg","00000-BP15_-06362.jpg","00000-BP15_-07752.jpg","","","","","00000-ALLUP-92953.jpg","00001-webph-02361.jpg","","","","","","","","","","","","","","","","","00000-ALLUP-90861.jpg","","00000-SP12_-06751.jpg","","00000-BP14_-03471.jpg","","","","","","","","","","","","2_00001-webph-02360.jpg、3_00000-BP16_-08886.jpg、4_00001-webph-02359.jpg、5_00000-BP16_-07569.jpg、6_00000-BP16_-08171.jpg、7_00001-webph-02357.jpg、8_00021-EBP10-01617.jpg","3_00000-ALLUP-91512.jpg、4_00021-EBP10-03449.jpg、5_00000-ALLUP-91685.jpg、6_00000-BP15_-04283.jpg、7_00000-BP16_-07173.jpg、8_00000-ALLUP-33484.jpg","3_00001-webph-02111.jpg、7_00000-ALLUP-33477.jpg","","","","1_00154-webbn-16801.jpg、2_00000-SP16_-02101.jpg","1_00481-webph-00262.jpg、2_00000-BP15_-07752.jpg","1_00448-webph-00423.jpg、2_00709-BP14-00070.jpg","ベルギー、ルクセンブルグ、オランダ","ブルージュ、デュルビュイ、アルデンヌ地方、アントワープ、ブリュッセル、ゲント、ルクセンブルグ、アムステルダム、ハーグ、キューケンホフ、マーストリヒト","トラピックス"
"EN130","1","20","EUR","スイスアルプス５大名峰と４つの絶景列車の旅　８日間","40046","1760","00000-BP16_-09935.jpg","00000-SP17_-04502.jpg","00000-BP14_-03706.jpg","00000-EBP07-03063.jpg","00000-EBP08-00795.jpg","00000-ALLUP-75963.jpg","","","","","","","","","00000-ALLUP-82561.jpg","00000-ALLUP-54446.jpg","00000-ALLUP-50818.jpg","","","","","","","","","00138-webph-00279.jpg","","","","","","00000-BP13_-00848.jpg","","00000-SP13_-06802.jpg","","","","","","","","","","","","","","2_00469-BP17-00039.jpg、3_00000-BP12_-02420.jpg、4_00000-SP15_-28376.jpg、5_00000-BP16_-00401.jpg、6_00000-SP15_-08233.jpg","2_00133-BP17-00063.jpg、4_00000-BP15_-00176.jpg、6_00000-EBP08-00795.jpg","","","3_00000-BP16_-00664.jpg","3_00000-AM17_-00162.jpg","1_00000-EBP07-03063.jpg、2_00019-BP12-00007.jpg","1_00000-BP13_-01001.jpg、2_00000-BP16_-09935.jpg","1_00138-webph-00026.jpg、2_00056-ALLUP-102568.jpg","スイス、フランス","ビーテンベルク、アンデルマット、ブリエンツ、ジュネーブ、ツェルマット、テーシュ、チューリッヒ（空港）、ユングラウヨッホ、シャモニー","トラピックス"
"E361","1","30","EUR","感動のスイスゴールデンルート１０日間","100874","4133","00446-webph-02379.jpg","00000-SP15_-28047.jpg","00000-EBP07-03063.jpg","00000-SP15_-26810.jpg","00000-BP13_-01001.jpg","00446-webph-02381.jpg","00000-ESP15-00042.jpg","","","","","","","00019-SP16-00339.jpg","00000-ALLUP-81527.jpg","00000-ALLUP-70602.jpg","00000-ALLUP-98093.jpg","","","","","","","","","","00000-ALLUP-99725.jpg","00000-BP15_-01739.jpg","00000-BP16_-09048.jpg","00000-ALLUP-75963.jpg","00445-webbn-17105.jpg","00000-BP17_-00581.jpg","","","","00000-SP15_-14066.jpg","","00000-SP15_-28948.jpg","","","","","","","","","","2_00000-SP16_-32020.jpg、3_00143-ALLUP-77418.jpg、4_00000-BP13_-01001.jpg、5_00000-SP16_-33397.jpg、6_00000-BP17_-01054.jpg、7_00000-SP12_-06253.jpg、8_00000-BP16_-09061.jpg","2_00379-webbn-16493.jpg、3_00000-BP15_-01008.jpg、4_00000-SP16_-31235.jpg、5_00000-BP15_-07921.jpg、6_00001-webph-00766.jpg、7_00000-BP13_-00281.jpg、8_00056-ESP15-00017.jpg","4_00000-BP12_-02424.jpg、6_00000-BP16_-09125.jpg","","3_00138-webph-00280.jpg","3_00256-ALLUP-74068.jpg","2_00134-SP16-00010.jpg、4_00143-ALLUP-77420.jpg、6_00000-SP12_-08547.jpg","2_00000-SP15_-08233.jpg、4_00000-SP16_-31617.jpg、6_00000-BP11_-00916.jpg","2_00000-SP12_-15318.jpg、4_00000-SP12_-06252.jpg、6_00000-EBP08-00743.jpg","スイス、フランス","グリンデルワルド、ローザンヌ、サンモリッツ、ベルン、インターラーケン、マイエンフェルト、ツェルマット、サースフェー、シャモニー","トラピックス"
"3S300A1","0","30","HOK","梅田・なんば発 (ホテルプラン) 善光寺お礼参りの旅　2日間","140060","4117","00000-SP17_-08460.jpg","00000-ALLUP-55769.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","長野県","長野市、伊那・駒ヶ根・高遠、飯田・天竜峡・昼神温泉","トラピックス"
"103YY14","0","10","HKD","どっきり函館フリープラン ３日間","101118","3148","00000-BL17_-01392.jpg","00000-ALLUP-55273.jpg","00000-EBP07-00001.jpg","00000-ALLUP-23663.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","北海道","函館","トラピックス"
"701015","0","61","KYS","たっぷり！グリーンランド　日帰り","75601","3670","00000-SP12_-22901.jpg","00000-SP13_-17084.jpg","00001-DSile-00010.jpg","00001-DSile-00002.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","熊本県","荒尾・長洲","トラピックス"
"4F992XX","0","30","KYS","【往復JR】びっくり博多フリープラン　3日間","140248","4187","00000-SP12_-14752.jpg","00054-ALLUP-109959.jpg","00000-SP17_-13298.jpg","00032-EBP07-07690.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","福岡県","博多","トラピックス"
"3H305CC","0","30","KNK","（四条・京都発） 第5回 西国三十三所巡礼の旅　日帰り〔12～15番〕","140060","4117","00021-EBP10-00063.jpg","00054-ALLUP-96762.jpg","00053-ile__-00000.jpg","","","","","","","","","","","","","","","","","","","","","","","","00447-webbn-25764.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","滋賀県、京都府","大津市、祇園東山・伏見・山科","トラピックス"
"78877","0","10","KYS","宇宙に近い島「種子島」と神秘の世界遺産「屋久島」2島に泊まる3日間","170069","3148","00000-SP17_-05313.jpg","00709-BL13-00005.jpg","00000-BL17_-01176.jpg","00000-BP16_-02175.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","鹿児島県","屋久島、種子島","トラピックス"
"40608","0","10","HOK","立山黒部ｱﾙﾍﾟﾝﾙｰﾄ･秘境ﾄﾛｯｺ電車　5つの日本一と7つの乗物で巡る旅2日間","150102","3175","00000-BP17_-00946.jpg","00000-BP17_-02557.jpg","00000-AM17_-00906.jpg","00000-SP17_-02376.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","富山県、長野県","黒部峡谷・宇奈月、立山黒部アルペンルート、白馬・八方","トラピックス"
