"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"2319J","0","80","KAN","【新千歳空港発着/往復JALで行く！】京成ホテルミラマーレ　千葉フリープラン３日間","081103","3630","00000-ALLUP-08629.jpg","00000-ALLUP-65421.jpg","00000-ALLUP-65419.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"E432TG","1","30","EUR","【燃油サーチャージ込】イタリア湖水地方とドロミテ街道・３つのアルプス巡り８日間","160127","4133","00000-BP16_-02731.jpg","00000-BP16_-08884.jpg","00000-BP16_-01665.jpg","00000-BP16_-04004.jpg","00000-BP12_-01348.jpg","00021-EBP09-09638.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2_00000-BP15_-06919.jpg、3_00021-EBP09-09638.jpg、4_00000-BP16_-01665.jpg、5_00000-BP16_-04004.jpg、6_00000-BP16_-03458.jpg","2_00000-BP15_-02684.jpg、3_00000-BP16_-08884.jpg、5_00000-BP16_-02731.jpg、6_00000-BP12_-01348.jpg","","","","","1_00000-BP16_-02731.jpg","1_00000-BP16_-04004.jpg","1_00000-BP15_-02684.jpg"
"QUA5T85","1","20","USA","＜2ﾃﾞｰﾊﾟｰｸﾎｯﾊﾟｰﾊﾟｽ付＞中部発着｜ｴｱ･ｶﾅﾀﾞ ﾙｰｼﾞｭ利用♪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ5日間≪ｽｰﾊﾟｰ8指定≫","040163","1760","00000-ALLUP-95825.jpg","00000-ALLUP-95827.jpg","00000-ALLUP-95823.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J033IWA","1","96","AUS","【岩国発着】全日空ビジネスクラス利用！世界遺産と大自然の宝庫　タスマニア　アイランド９日間","131011","5601","00000-BP16_-06727.jpg","00000-BP16_-03925.jpg","00000-BP15_-05007.jpg","00000-BP17_-01013.jpg","00000-BP16_-04753.jpg","00021-EBP10-03319.jpg","00000-BP17_-01019.jpg","00000-BP15_-04872.jpg","00000-BP15_-04871.jpg","00000-BP15_-04825.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J033KFU","1","96","AUS","【福岡発着】全日空ビジネスクラス利用！世界遺産と大自然の宝庫　タスマニア　アイランド９日間","131011","5601","00000-BP16_-06727.jpg","00000-BP16_-03925.jpg","00000-BP15_-05007.jpg","00000-BP17_-01013.jpg","00000-BP16_-04753.jpg","00021-EBP10-03319.jpg","00000-BP17_-01019.jpg","00000-BP15_-04872.jpg","00000-BP15_-04871.jpg","00000-BP15_-04825.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J033KHJ","1","96","AUS","【広島発着】全日空ビジネスクラス利用！世界遺産と大自然の宝庫　タスマニア　アイランド９日間","131011","5601","00000-BP16_-06727.jpg","00000-BP16_-03925.jpg","00000-BP15_-05007.jpg","00000-BP17_-01013.jpg","00000-BP16_-04753.jpg","00021-EBP10-03319.jpg","00000-BP17_-01019.jpg","00000-BP15_-04872.jpg","00000-BP15_-04871.jpg","00000-BP15_-04825.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J033KSP","1","96","AUS","【札幌発着】全日空ビジネスクラス利用！世界遺産と大自然の宝庫　タスマニア　アイランド９日間","131011","5601","00000-BP16_-06727.jpg","00000-BP16_-03925.jpg","00000-BP15_-05007.jpg","00000-BP17_-01013.jpg","00000-BP16_-04753.jpg","00021-EBP10-03319.jpg","00000-BP17_-01019.jpg","00000-BP15_-04872.jpg","00000-BP15_-04871.jpg","00000-BP15_-04825.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"J033KTK","1","96","AUS","【高松発着】全日空ビジネスクラス利用！世界遺産と大自然の宝庫　タスマニア　アイランド９日間","131011","5601","00000-BP16_-06727.jpg","00000-BP16_-03925.jpg","00000-BP15_-05007.jpg","00000-BP17_-01013.jpg","00000-BP16_-04753.jpg","00021-EBP10-03319.jpg","00000-BP17_-01019.jpg","00000-BP15_-04872.jpg","00000-BP15_-04871.jpg","00000-BP15_-04825.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
