"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"FHMASW7","1","31","HWI","【正規割引運賃】≪送迎＋ﾄﾛﾘｰ券付≫日本航空(JAL)ﾌﾟﾚﾐｱﾑｴｺﾉﾐｰｸﾗｽ直行便｜ﾊﾜｲ7日間＜ｼｪﾗﾄﾝﾜｲｷｷ指定＞","130990","5237","00000-ALLUP-93745.jpg","00000-ALLUP-75622.jpg","00000-ALLUP-24429.jpg","00000-ALLUP-62262.jpg","00000-ALLUP-62260.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4J10","0","22","HOK","【ｸﾘｽﾀﾙﾊｰﾄ】名門「上高地帝国ホテル」と「星野リゾート　界 松本」に泊まる至高の休日　３日間","120381","3550","00000-ALLUP-57990.jpg","00000-ALLUP-75163.jpg","00000-BL17_-00840.jpg","00000-ALLUP-57982.jpg","","","","","","","","","","00000-ALLUP-57990.jpg","00000-ALLUP-75163.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6J6973","0","60","KNK","【博多・小倉発】ＪＲのぞみで行く！大阪フリープラン３日間（ニューオーサカホテル心斎橋/セミダブル）","091390","2525","00000-ALLUP-108933.jpg","00000-ALLUP-108934.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6J6974","0","60","KNK","【博多・小倉発】ＪＲのぞみで行く！大阪フリープラン４日間（ニューオーサカホテル心斎橋/セミダブル）","091390","2525","00000-ALLUP-108933.jpg","00000-ALLUP-108934.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1871A","0","20","HKD","ザ・ウィンザーホテル洞爺（2泊目）とヒルトンニセコビレッジ（1泊目）プレミアムリゾート北海道3日間","057853","1748","00000-ALLUP-54775.jpg","00000-ALLUP-23772.jpg","00000-BL15_-00043.jpg","00000-SP17_-05745.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZM820A","1","66","AUS","【宮崎発着】はじめてのオーストラリア６日間","950114","2658","00000-BP15_-05386.jpg","00000-BP15_-01995.jpg","00000-BP15_-06795.jpg","00000-ALLUP-65614.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2_00000-EBP07-02895.jpg、3_00000-BP15_-06246.jpg、4_00000-BP11_-01051.jpg、5_00000-BP15_-05343.jpg","2_00000-ALLUP-94317.jpg、4_00000-BP16_-03083.jpg、5_00000-BP15_-06236.jpg","2_00000-SP12_-04832.jpg、4_00000-SP13_-12476.jpg、5_00000-SP13_-01450.jpg","","","","","",""
"FKP2JSS","1","31","KOR","【新聞掲載】＼秋旅ｾｰﾙ／ｼﾞﾝｴｱｰ関空午前発・午後帰着！ﾌﾟｻﾝ2日間＜ｽﾀﾝﾌｫｰﾄﾞ ｲﾝ 釜山滞在＞","453036","5237","00000-BP15_-03320.jpg","00133-SP17-00652.jpg","00133-SP17-00650.jpg","00000-SP16_-24602.jpg","00709-ESP16-00035.jpg","","","","","","","","","00133-SP17-00651.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6J6982","0","60","KNK","【博多・小倉発】ＪＲのぞみで行く！大阪フリープラン2日間（ニューオーサカホテル心斎橋/ﾚﾃﾞｨｰｽｼﾝｸﾞﾙ）","091390","2525","00000-ALLUP-108933.jpg","00000-BP17_-02812.jpg","00000-BP15_-05338.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VU550J","1","80","USA","＜新千歳発着＞≪日本航空羽田国際線利用≫大自然アメリカ周遊８日間","160527","3630","00000-BP14_-03665.jpg","00445-webbn-17937.jpg","00000-BP16_-03401.jpg","00000-BP16_-09894.jpg","00133-BP12-00002.jpg","00709-EBP14-00075.jpg","00000-BP14_-03982.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2_00000-BP16_-03401.jpg、3_00448-webbn-16527.jpg、4_00000-BP17_-00702.jpg、5_00376-webbn-18210.jpg","2_00000-BP16_-08153.jpg、3_00000-BP14_-03665.jpg、4_00021-EBP10-00893.jpg、5_00478-webph-00540.jpg","4_00000-BP15_-03184.jpg","","","","","",""
"F527DK2","0","70","KNK","【秋田空港】紅に染まる京都８つの特別拝観・公開と隠れの里大原の秋景色をはんなり愉しむ３日間","160066","1120","00056-ALLUP-109330.jpg","00000-BP14_-02348.jpg","00463-SP16-00219.jpg","00000-ALLUP-76986.jpg","00000-ALLUP-102271.jpg","","","","","","","","","00000-ALLUP-76990.jpg","00000-ALLUP-76414.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2_00000-BP14_-02348.jpg","2_00000-BL16_-00430.jpg","","","","","","",""
