p_country_name,p_country_name_en,p_country_code,url,cms_link
北海道,hokkaido,01,https://www.hankyu-travel.com/freeplan-d/facility/01/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
青森県,aomori,02,https://www.hankyu-travel.com/freeplan-d/facility/02/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
岩手県,iwate,03,https://www.hankyu-travel.com/freeplan-d/facility/03/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
宮城県,miyagi,04,https://www.hankyu-travel.com/freeplan-d/facility/04/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
秋田県,akita,05,https://www.hankyu-travel.com/freeplan-d/facility/05/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
山形県,yamagata,06,https://www.hankyu-travel.com/freeplan-d/facility/06/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
福島県,fukushima,07,https://www.hankyu-travel.com/freeplan-d/facility/07/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
茨城県,ibaraki,08,https://www.hankyu-travel.com/freeplan-d/facility/08/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
栃木県,tochigi,09,https://www.hankyu-travel.com/freeplan-d/facility/09/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
群馬県,gunma,10,https://www.hankyu-travel.com/freeplan-d/facility/10/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
埼玉県,saitama,11,https://www.hankyu-travel.com/freeplan-d/facility/11/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
千葉県,chiba,12,https://www.hankyu-travel.com/freeplan-d/facility/12/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
東京都,tokyo,13,https://www.hankyu-travel.com/freeplan-d/facility/13/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
神奈川県,kanagawa,14,https://www.hankyu-travel.com/freeplan-d/facility/14/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
新潟県,niigata,15,https://www.hankyu-travel.com/freeplan-d/facility/15/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
富山県,toyama,16,https://www.hankyu-travel.com/freeplan-d/facility/16/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=105018&blog_id=74
