p_dest_name,p_dest_code,p_country_name,p_country_code,p_city_name,url,cms_link
アジア,AAS,,,,https://www.hankyu-travel.com/asia/,
アジア,AAS,中国,CN,,https://www.hankyu-travel.com/china/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,北京,https://www.hankyu-travel.com/china/beijing/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,上海,https://www.hankyu-travel.com/china/shanghai/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,大連,https://www.hankyu-travel.com/china/dalian/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,杭州,https://www.hankyu-travel.com/china/hangzhou/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,成都,https://www.hankyu-travel.com/china/chengdu/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,西安,https://www.hankyu-travel.com/china/xian/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,九寨溝・黄龍,https://www.hankyu-travel.com/china/jiuzhaigou/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,中国,CN,チベット,https://www.hankyu-travel.com/china/tibet/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,韓国,KR,,https://www.hankyu-travel.com/korea/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,韓国,KR,ソウル,https://www.hankyu-travel.com/korea/seoul/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,韓国,KR,釜山,https://www.hankyu-travel.com/korea/busan/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,韓国,KR,済州島,https://www.hankyu-travel.com/korea/jeju/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,台湾,TW,,https://www.hankyu-travel.com/taiwan/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,台湾,TW,台北,https://www.hankyu-travel.com/taiwan/taipei/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,台湾,TW,台中,https://www.hankyu-travel.com/taiwan/taichung/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,台湾,TW,台南,https://www.hankyu-travel.com/taiwan/tainan/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
アジア,AAS,台湾,TW,高雄,https://www.hankyu-travel.com/taiwan/kaohsiung/,http://cms.hankyu-travel.com/cgi-bin/mta/mt.cgi?__mode=view&_type=entry&id=151622&blog_id=72
