更新フラグ（A：新規、U：更新、D：論理削除）	MALL_PHOTO番号	カテゴリ	掲載期間(使用可能終了日)	都道府県(国名県名)	地名ID(地名)	撮影時期(撮影月)	内容(写真キーワード)	写真名	写真入手元	元画像管理番号	付加条件：クレジット(要クレジット)	お客様部署とお客様名(担当部署)	担当氏名	使用範囲(他の制作会社への貸出が)	備考(その他のコメント)	制限付き(0：公開否  1：公開)	登録者アカウント	レンポジ番号
A	SP24-068861A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		SP24-068861A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	SP24-068738A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		SP24-068738A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	SP24-068504A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		SP24-068504Ajpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	SP24-067600A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		SP24-067600Ajpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	SP24-059354A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		SP24-059354Ajpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	SP23-062260A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		SP23-062260A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	HX24-069090A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		HX24-069090A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	BP24-036067A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		BP24-036067A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	BP24-000809A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		BP24-000809A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	BP23-019086A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		BP23-019086A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	BP18-065881A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		BP18-065881A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
A	AM24-032417A.jpg	HEI BUD MOVIE	0000/0/00 0:00	スペイン		4		AM24-032417A.jpg海外最新情報 スペイン　～現地へ視察に行ってきました～	BUD制作（阪急交通社 金﨑佳織様撮影）		写真提供：（公財）名古屋観光コンベンションビューロー	大阪メディア 海外1課1係 金﨑佳織様	海外1課1係 金﨑佳織様			1	中島	
