Target campaign	Target ad group	tour_price(text)	URL(text)	rqUrl	thedate	naigai	
SC_国内バスツアー_001_北海道発	SC_国内バスツアー_001_北海道発_BIGワード_h	4,990円～	http://www.hankyu-travel.com/bus/spk.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=101013%2C101319%2C101011%2C101012%2C101014%2C101015%2C101016%2C101017%2C101018%2C101320%2C101321%2C101322%2C101323&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_002_青森発	SC_国内バスツアー_002_青森発_BIGワード_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/aoj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=102022&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_003_東北発	SC_国内バスツアー_003_東北発_BIGワード_h	7,980円～	http://www.hankyu-travel.com/bus/sdj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=102023%2C102024%2C102021%2C102025%2C102026&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_004_北関東発	SC_国内バスツアー_004_北関東発_BIGワード_h	6,990円	http://www.hankyu-travel.com/bus/ibr.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=104046%2C104047%2C104048&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_005_関東発	SC_国内バスツアー_005_関東発_BIGワード_h	6,990円～	http://www.hankyu-travel.com/bus/tyo.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=104049%2C104045%2C104041%2C104042%2C104043%2C104044%2C105052&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_006_新潟発	SC_国内バスツアー_006_新潟発_BIGワード_h	2,000円～	http://www.hankyu-travel.com/bus/kij.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=105051&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_007_長野発	SC_国内バスツアー_007_長野発_BIGワード_h	2.75万円～	http://www.hankyu-travel.com/bus/mmj.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=105053&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_008_北陸発	SC_国内バスツアー_008_北陸発_BIGワード_h	9,470円～	http://www.hankyu-travel.com/bus/hkr.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=103033%2C103031&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_009_名古屋発	SC_国内バスツアー_009_名古屋発_BIGワード_h	4,990円～	http://www.hankyu-travel.com/bus/ngo.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=111113%2C111111%2C111114&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_010_静岡発	SC_国内バスツアー_010_静岡発_BIGワード_h	1万円～	http://www.hankyu-travel.com/bus/szo.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=111112&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
SC_国内バスツアー_011_関西発	SC_国内バスツアー_011_関西発_BIGワード_h	3,000円～	http://www.hankyu-travel.com/bus/osa.php	http://www.hankyu-travel.com/search/ajax_d.php?p_hatsu_sub=106064%2C106061%2C106065%2C106062%2C106063%2C106066&p_bunrui=813&p_transport=1&MyNaigai=d&status=onLoad&p_price_min=1000&kind=GetList&p_rtn_data=p_hatsu_name	2018-06-04	bus
