Target campaign	Target ad group	Target keyword text	Target keyword match type	title1(text)	tour_price(text)	Target location	出発地(text)	元URL
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 ツアー	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安ツアー	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安旅行	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 旅行	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 旅行	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安ツアー	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 ツアー	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	his 台北 ツアー	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ ツアー	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安ツアー	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 ツアー 安い	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 旅行	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	his 台北 ツアー	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ ツアー	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 観光	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 HIS	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安ツアー	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安旅行	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 旅行	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安旅行	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安旅行	部分一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	北海道発 台北ツアー	完全一致	台北	4.98万円～	Hokkaido, Japan	北海道発	https://www.hankyu-travel.com/taiwan/taipei/spk.php
