Target campaign	Target ad group	title1(text)	tour_price(text)	Target location	出発地(text)	Target location restriction	URL
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Hokkaido, Japan	北海道発	Physical location	https://www.hankyu-travel.com/korea/spk.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Aomori, Japan	青森発	Physical location	https://www.hankyu-travel.com/korea/aoj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Akita, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Iwate, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Miyagi, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Yamagata, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Fukushima, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Tokyo, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Saitama, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Kanagawa, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Chiba, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Ibaraki, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Tochigi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Gunma, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Yamanashi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Niigata, Japan	新潟発	Physical location	https://www.hankyu-travel.com/korea/kij.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Nagano, Japan	長野発	Physical location	https://www.hankyu-travel.com/korea/mmj.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Toyama, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/hkr.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Ishikawa, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/hkr.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Fukui, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/hkr.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Aichi, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/ngo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Mie, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/ngo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Gifu, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/ngo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Shizuoka, Japan	静岡発	Physical location	https://www.hankyu-travel.com/korea/szo.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Osaka, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Kyoto, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/osa.php
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国		Shiga, Japan	関西発	Physical location	https://www.hankyu-travel.com/korea/osa.php
