Target campaign	Target ad group	title1(text)	tour_price(text)	Target location	出発地(text)	Target location restriction	URL	rqUrl	thedate	naigai	
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.98万円～	Hokkaido, Japan	北海道発	Physical location	https://www.hankyu-travel.com/korea/spk.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=105&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	5.5万円～	Aomori, Japan	青森発	Physical location	https://www.hankyu-travel.com/korea/aoj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=117%2C129&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	6.98万円～	Akita, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=126%2C109%2C118%2C141%2C128%2C140%2C125&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	6.98万円～	Iwate, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=126%2C109%2C118%2C141%2C128%2C140%2C125&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	6.98万円～	Miyagi, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=126%2C109%2C118%2C141%2C128%2C140%2C125&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	6.98万円～	Yamagata, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=126%2C109%2C118%2C141%2C128%2C140%2C125&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	6.98万円～	Fukushima, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/sdj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=126%2C109%2C118%2C141%2C128%2C140%2C125&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Tokyo, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Saitama, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Kanagawa, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Chiba, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Ibaraki, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Tochigi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Gunma, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	1.78万円～	Yamanashi, Japan	関東発	Physical location	https://www.hankyu-travel.com/korea/tyo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=101%2C130%2C159%2C133%2C151%2C168%2C169&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	4.28万円～	Niigata, Japan	新潟発	Physical location	https://www.hankyu-travel.com/korea/kij.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=119&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	18.6万円～	Nagano, Japan	長野発	Physical location	https://www.hankyu-travel.com/korea/mmj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=139&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.97万円～	Toyama, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/hkr.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=114%2C170%2C164&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.97万円～	Ishikawa, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/hkr.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=114%2C170%2C164&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.97万円～	Fukui, Japan	北陸発	Physical location	https://www.hankyu-travel.com/korea/hkr.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=114%2C170%2C164&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.59万円～	Aichi, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/ngo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=103&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.59万円～	Mie, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/ngo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=103&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.59万円～	Gifu, Japan	名古屋発	Physical location	https://www.hankyu-travel.com/korea/ngo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=103&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.45万円～	Shizuoka, Japan	静岡発	Physical location	https://www.hankyu-travel.com/korea/szo.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=112&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
